Metric,Baseline,Strategy
Total PnL,10296958.943436,4483234.5301173
Avg PnL per Trade,48.74900079269401,22.054804675970722
Win Rate,0.4112648183918494,0.4086935560835707
Max Drawdown,-443038.3497249987,-221519.17486249935
